영상 파일명,평균 속도(FPS),최저 속도(Seconds),최고 속도(Seconds),평균 사람 형태 차단율(%),최저 사람 형태 차단율(%),최고 사람 형태 차단율(%),평균 BBox 마스킹률(%),최저 BBox 마스킹률(%),최고 BBox 마스킹률(%),평균 신뢰도 점수(Conf)
result_cross_eval_20260607_200921.csv,4.664539727980851,0.1731908321380615,0.2950818538665771,99.34953551729633,97.13769543296684,100.0,100.0,100.0,100.0,0.8814584540844096
result_cross_eval_20260607_202307.csv,4.832682091682287,0.157743215560913,0.2603716850280761,99.27171461666799,95.45612661970605,100.0,100.0,100.0,100.0,0.8895304859330078
result_cross_eval_20260607_203843.csv,4.9956368545866745,0.1348133087158203,0.2500646114349365,99.2379699253386,94.5873934226553,100.0,100.0,100.0,100.0,0.8566460678686245
result_cross_eval_20260607_205146.csv,4.291918080928619,0.1697080135345459,0.2959647178649902,90.08108182428775,67.67361357126228,100.0,100.0,100.0,100.0,0.9025783577385097
result_cross_eval_20260607_210649.csv,4.640097051350449,0.1635835170745849,0.315593957901001,99.29232904913736,79.89129127684649,100.0,100.0,100.0,100.0,0.8980042594600075
result_cross_eval_20260607_212302.csv,4.829998960019415,0.142221450805664,0.2539830207824707,99.26344767214391,95.24501372165908,100.0,100.0,100.0,100.0,0.8903503808601801
result_cross_eval_20260607_213722.csv,4.690350437135044,0.164799690246582,0.2837948799133301,99.68138550507366,93.78268234034404,100.0,100.0,100.0,100.0,0.9106463629879643
result_cross_eval_20260607_215102.csv,4.838860106346016,0.1617064476013183,0.2735259532928467,98.80656101989516,91.87825486423824,100.0,100.0,100.0,100.0,0.8828494802051268
result_cross_eval_20260607_220833.csv,4.962604903051512,0.1371035575866699,0.2518894672393799,98.5269224499616,92.58188543339661,100.0,100.0,100.0,100.0,0.8669017416136303
result_cross_eval_20260607_222143.csv,4.89437188527378,0.153578519821167,0.2505221366882324,98.7493508214577,91.7699045214235,100.0,100.0,100.0,100.0,0.8736144485853672
result_cross_eval_20260607_223529.csv,4.873574963801376,0.143918752670288,0.2727611064910888,99.00433376735026,93.11204122613891,100.0,100.0,100.0,100.0,0.8816053451382098
result_cross_eval_20260607_224846.csv,4.833003992233492,0.1486308574676513,0.2786946296691894,99.32322813094527,69.31031559912977,100.0,100.0,100.0,100.0,0.900684473515219
result_cross_eval_20260607_230204.csv,4.336089662205486,0.1908340454101562,0.2894289493560791,98.18449608754378,27.135361868220258,100.0,100.0,100.0,100.0,0.9101279023388167
result_cross_eval_20260607_231758.csv,4.935464369674542,0.1526334285736084,0.2519290447235107,99.44376488570822,85.94165366079545,100.0,100.0,100.0,100.0,0.8737534964395204
result_cross_eval_20260607_233156.csv,5.031008867540075,0.1376798152923584,0.275270938873291,97.31711873717175,93.12968786158642,100.0,100.0,100.0,100.0,0.8378463106432149
result_cross_eval_20260608_110117.csv,5.473299385491961,0.1419408321380615,0.4194967746734619,98.71756767402941,74.86895423621695,100.0,100.0,100.0,100.0,0.8757197500202133
result_cross_eval_20260608_111348.csv,4.785135933081526,0.1345939636230468,0.3842198848724365,99.27311105698533,49.024228388791826,100.0,100.0,100.0,100.0,0.8900533834287637
result_cross_eval_20260608_112729.csv,4.894328424705024,0.1452279090881347,0.293694257736206,99.17040494343698,86.42464190213411,100.0,100.0,100.0,100.0,0.8633849442633271
